Segment,Model,RMSE
1,rbf,0.365563380863168
2,arima,0.247775309073799
3,rbf,0.04813832585806
4,rbf,0.139591724968851
5,rbf,0.0407767671853389
6,arima,0.0547290609468879
7,rbf,0.0718086225165534
8,rbf,0.0667481384265321
9,arima,0.0775631836517454
10,rbf,0.0481612861311042
11,rbf,0.186477106127133
12,arima,0.214083288752059
13,rbf,0.0644079275161904
14,rbf,0.213389159473636
15,rbf,0.36110393970418
16,rbf,0.0212897703909861
17,rbf,0.116617408375398
18,rbf,0.132535155191616
19,arima,0.0305898101615203
20,rbf,0.0222718915212426
21,rbf,0.176233069143859
22,arima,0.095860547908033
23,arima,0.116791881477567
24,rbf,0.0746972409774623
25,rbf,0.0426982374132175
26,rbf,0.107395162687421
27,rbf,0.126953295326209
28,rbf,0.113221327072804
29,rbf,0.14467687258348
30,rbf,0.0996908841986169
31,rbf,0.0443335847522594
32,rbf,0.045863920956997
33,rbf,0.0832175205213964
34,rbf,0.0354999891701634
35,rbf,0.00700197305765467
36,rbf,0.0101814696345613
37,rbf,0.0153594442743626
38,rbf,0.0536617604778478
39,rbf,0.0804167363371767
40,rbf,0.106275713269864
41,rbf,0.0343102779438426
42,rbf,0.116578737274598
43,rbf,0.129101362825973
44,rbf,0.056191237851191
45,rbf,0.19214603891133
46,rbf,0.169271473167912
47,rbf,0.185636383599186
48,rbf,0.00679584120778165
49,rbf,0.00847938670685308
50,rbf,0.101158510245403
51,rbf,0.02763031122641
52,rbf,0.0228739913162619
53,rbf,0.246903778828721
54,rbf,0.222548723332936
55,rbf,0.135642237232953
56,arima,0.0388002788416744
57,rbf,0.099674401001596
58,rbf,0.084758588213853
59,rbf,0.0363203812489136
60,rbf,0.186620362898979
61,rbf,0.165581014494442
62,rbf,0.144615754877961
63,arima,0.137860556744291
64,rbf,0.0125503648564979
65,rbf,0.0812405761599678
66,rbf,0.0416663986646555
67,rbf,0.140603853872683
68,rbf,0.314890098901941
69,arima,0.140826486505074
70,rbf,0.0447152843692235
71,rbf,0.150132505853776
72,arima,0.033237507969571
73,rbf,0.3108283327193
74,rbf,0.232947527681407
75,rbf,0.215329037460334
76,arima,0.040156294658613
77,rbf,0.13985692587403
78,rbf,0.262637590745577
79,rbf,0.126667801814444
80,rbf,0.0788389304213493
81,rbf,0.308974213568043
82,rbf,0.0273651718118841
83,arima,0.16790632908964
84,rbf,0.170512285957654
85,arima,0.184820866914863
86,rbf,0.115062969285534
87,rbf,0.15446475077178
88,rbf,0.142572519379862
89,rbf,0.0615851608616004
90,rbf,0.0386294814783036
91,rbf,0.0465099704082149
92,arima,0.0391919456484484
93,rbf,0.230496405980008
94,rbf,0.156280798896717
95,rbf,0.103070539322916
96,arima,0.0598034688183487
97,rbf,0.0575205635757687
98,rbf,0.0246407953525651
99,rbf,0.0808488098369247
100,rbf,0.0197015965807656
101,rbf,0.0927744896695096
102,rbf,0.0509605246280663
103,rbf,0.102179523054102
104,rbf,0.0702392188575897
105,arima,0.160179170014672
106,rbf,0.0775305329295609
107,rbf,0.0495566673813268
108,rbf,0.366541418006608
109,arima,0.145077590836484
110,rbf,0.0393374696132892
111,rbf,0.037128542581828
112,arima,0.0302742821074484
113,rbf,0.223903100205145
114,rbf,0.198167062327637
115,arima,0.170944016262797
116,arima,0.0458325065127073
117,rbf,0.127054016764304
118,rbf,0.325453665759369
119,arima,0.0571375863349333
120,rbf,0.0755096767743013
121,rbf,0.484773286581371
122,arima,0.249418746737696
123,arima,0.151525784040584
124,rbf,0.0901649756435949
125,arima,0.325034450071825
126,rbf,0.114596064447794
127,rbf,0.102123491773568
128,rbf,0.0367315110453407
129,rbf,0.0389388283597045
130,rbf,0.0769633608457814
131,rbf,0.0385848262135861
132,arima,0.0537462633321051
133,rbf,0.0831026721374764
134,rbf,0.280744762877121
135,rbf,0.187388634485654
136,rbf,0.00608233220396435
137,rbf,0.0211044071306444
138,rbf,0.176916476999298
139,rbf,0.0494301175073232
140,rbf,0.0306844483878311
141,rbf,0.191078168426955
142,arima,0.0970070272672895
143,arima,0.110111581116997
144,rbf,0.249150098450412
145,rbf,0.272386826537247
146,rbf,0.0553135862798519
147,rbf,0.136502082474459
148,rbf,0.0951667281768487
149,rbf,0.146592861021909
150,rbf,0.0388596405060634
151,rbf,0.073100907989429
152,arima,0.0397691875966202
153,rbf,0.062105200266001
154,rbf,0.0940046255249754
155,rbf,0.0322450278276087
156,rbf,0.0615967387178442
157,rbf,0.0293104122607044
158,rbf,0.0161534331822127
159,rbf,0.0196857725523927
160,rbf,0.0683218836786647
161,rbf,0.0488678770114252
162,rbf,0.0128696377447348
163,rbf,0.0255910524203389
164,rbf,0.096028150255142
165,rbf,0.0395617214781643
166,rbf,0.0495783939339565
167,rbf,0.0167628184055141
168,rbf,0.235854078200812
169,rbf,0.166072768464136
170,rbf,0.185091388399526
171,rbf,0.058405340422852
172,arima,0.0301765321027827
173,rbf,0.218789768827604
174,rbf,0.107681461574215
175,arima,0.358056269668103
176,arima,0.022765922967446
177,rbf,0.282056967369422
178,rbf,0.118297409038682
179,arima,0.109269752429195
180,rbf,0.121065936758785
181,rbf,0.107269596181283
182,arima,0.0544422974164228
183,arima,0.0931121727945024
184,rbf,0.0986250860233073
185,rbf,0.0464019979616138
186,rbf,0.0311178291075097
187,rbf,0.136030174606256
188,rbf,0.175060848306545
189,arima,0.252734425836873
190,arima,0.31104857692338
