Model,Segment,RMSE,nRMSE,MAE,MAPE,sMAPE_pct,R2,Time_sec
rbf,1,0.000734393531730433,0.000224200353332102,0.000625722035831385,0.00499349468969458,0.00499346735199358,0.99995497081851,0.1756664
rbf_arima,1,0.000734393531730433,0.000224200353332102,0.000625722035831385,0.00499349468969458,0.00499346735199358,0.99995497081851,0.001935
arima,1,0.0109813119085042,0.00335244511772248,0.00819194849300284,0.0650579172380766,0.0650201452737241,0.989931962580829,0.2954435
rbf,2,0.000535083953233615,0.000163353850754433,0.000428765842699796,0.00333637015656218,0.00333642674686052,0.999976259568485,0.0017046
rbf_arima,2,0.000535083953233615,0.000163353850754433,0.000428765842699796,0.00333637015656218,0.00333642674686052,0.999976259568485,0.0550195
arima,2,0.00886736678753589,0.00270708643389935,0.00743328373654908,0.0576613507710195,0.0576529519273573,0.993480202600982,0.2897986
rbf,3,0.000642718108875266,0.000196213094038616,0.000568235487581899,0.00428262931052335,0.0042826292562208,0.999967381284546,0.0010711
rbf_arima,3,0.000642718108875266,0.000196213094038616,0.000568235487581899,0.00428262931052335,0.0042826292562208,0.999967381284546,0.0558127
arima,3,0.0245434496462783,0.00749278124729459,0.0187335355158604,0.140234943326725,0.140067210688297,0.952433960847695,0.3092792
rbf,4,0.00232634018408003,0.000710200006817129,0.00193575701017246,0.0143318491323389,0.014331633278722,0.996450704039973,0.0013339
rbf_arima,4,0.00232634018408003,0.000710200006817129,0.00193575701017246,0.0143318491323389,0.014331633278722,0.996450704039973,0.0567329
arima,4,0.181594221413719,0.0554382450892392,0.156066096457561,1.15307561719182,1.14416138868626,-20.6271762103345,0.3112049
rbf,5,0.0020941402659593,0.000639312531046901,0.00139040837154306,0.00999866759168747,0.00999891822248585,0.999609693711114,0.0014741
rbf_arima,5,0.0020941402659593,0.000639312531046901,0.00139040837154306,0.00999866759168747,0.00999891822248585,0.999609693711114,0.0567863
arima,5,0.0408943467057701,0.0124844876548893,0.033730394448569,0.242889237498319,0.242458627479355,0.851159690855056,0.2917952
rbf,6,0.00157261338550267,0.000480097470158424,0.00106907224521748,0.00767035940674272,0.00767003681698945,0.999094135751366,0.0010571
rbf_arima,6,0.00157261338550267,0.000480097470158424,0.00106907224521748,0.00767035940674272,0.00767003681698945,0.999094135751366,0.0660844
arima,6,0.117859482313827,0.0359808963949289,0.0988441492266593,0.712941310962406,0.709340812644182,-4.08801335308348,0.2882326
rbf,7,0.000748055806898639,0.000228371260056749,0.000640484399770713,0.0046792770797962,0.0046792435686679,0.999886003960648,0.0009683
rbf_arima,7,0.000748055806898639,0.000228371260056749,0.000640484399770713,0.0046792770797962,0.0046792435686679,0.999886003960648,0.0640263
arima,7,0.0359811414155384,0.0109845529271588,0.0232510112646337,0.170684280082281,0.170335347486665,0.736262650195138,0.2962874
rbf,8,0.00150433987526357,0.000459254496388268,0.00132176548299814,0.0098369181068312,0.00983696047045929,0.999615810398058,0.0010534
rbf_arima,8,0.00150433987526357,0.000459254496388268,0.00132176548299814,0.0098369181068312,0.00983696047045929,0.999615810398058,0.0634463
arima,8,0.0375058647525269,0.0114500302170814,0.0313526553097805,0.23425981077931,0.233866564176141,0.76119025871893,0.2229165
rbf,9,0.00129709861212675,0.000395986558405776,0.00113010383499711,0.0084776704030031,0.00847768459607288,0.998258587890579,0.0011333
rbf_arima,9,0.00129709861212675,0.000395986558405776,0.00113010383499711,0.0084776704030031,0.00847768459607288,0.998258587890579,0.0598691
arima,9,0.101467567219524,0.0309766677393834,0.0918605977845762,0.688442958348423,0.691345198273615,-9.65638902525636,0.2259363
rbf,10,0.000765420869490884,0.000233672577403107,0.000650176645390606,0.00493779281715355,0.00493784053698892,0.999890411425654,0.0010675
rbf_arima,10,0.000765420869490884,0.000233672577403107,0.000650176645390606,0.00493779281715355,0.00493784053698892,0.999890411425654,0.0809216
arima,10,0.0221175283442381,0.0067521804800306,0.0171665230583078,0.131171843443177,0.131032014277639,0.90849646680223,0.2307635
rbf,11,0.000697255297744686,0.000212862555786261,0.00059835542688121,0.0046465301258566,0.00464651820450368,0.999963918202058,0.0010871
rbf_arima,11,0.000697255297744686,0.000212862555786261,0.00059835542688121,0.0046465301258566,0.00464651820450368,0.999963918202058,0.0817888
arima,11,0.115697074426488,0.0353207426879005,0.0914021231339686,0.716702335120718,0.712594726772101,0.00654253080128309,0.2146167
rbf,12,0.000621974347830965,0.000189880306024252,0.000522740643624431,0.00421265070096732,0.00421269559966501,0.99996193852179,0.0009775
rbf_arima,12,0.000621974347830965,0.000189880306024252,0.000522740643624431,0.00421265070096732,0.00421269559966501,0.99996193852179,0.0763093
arima,12,0.0163085660604686,0.00497878332953388,0.0144820821974683,0.116687426481232,0.116601023571239,0.973831895909117,0.2455727
rbf,13,0.00123694127227253,0.000377621341028306,0.00109150000402766,0.00901108311429025,0.00901104026944282,0.999851198480478,0.0010068
rbf_arima,13,0.00123694127227253,0.000377621341028306,0.00109150000402766,0.00901108311429025,0.00901104026944282,0.999851198480478,0.0713013
arima,13,0.0671389509272872,0.0204966082486816,0.0551920498012795,0.4576971175565,0.456146276387817,0.561612354188901,0.2318608
rbf,14,0.00143521979276543,0.0004381530756256,0.00124266822856433,0.0104775927848596,0.0104778017514502,0.999641533870059,0.0011311
rbf_arima,14,0.00143521979276543,0.0004381530756256,0.00124266822856433,0.0104775927848596,0.0104778017514502,0.999641533870059,0.070272
arima,14,0.0393492658635363,0.0120127954955925,0.0283078808298506,0.240126128627392,0.239572236109196,0.730546043115583,0.3058625
rbf,15,0.00149934474913899,0.000457729552344399,0.0013098743162575,0.011135726329957,0.0111355660653526,0.999526103666215,0.001027
rbf_arima,15,0.00149934474913899,0.000457729552344399,0.0013098743162575,0.011135726329957,0.0111355660653526,0.999526103666215,0.0678714
arima,15,0.273432542269405,0.0834752349259493,0.224770353360508,1.89956504308686,1.92659905094122,-14.7608902016684,0.2189603
rbf,16,0.000479575852333417,0.000146407982773686,0.000407172832936572,0.00338346364026273,0.00338344631700248,0.999976687146552,0.0011256
rbf_arima,16,0.000479575852333417,0.000146407982773686,0.000407172832936572,0.00338346364026273,0.00338344631700248,0.999976687146552,0.0723318
arima,16,0.0475057357504337,0.0145028547779451,0.032958353087699,0.270834240358769,0.271595698240632,0.771243777547041,0.2374979
