Segment,Model,RMSE
1,rbf,0.131595788346447
2,arima,0.0671772409915665
3,rbf,0.0185238680525018
4,rbf,0.0408489283222618
5,rbf,0.0649414733044024
6,arima,0.0199937865969656
7,rbf,0.014400376291056
8,rbf,0.0136936742264722
9,rbf,0.0119405601473785
10,rbf,0.0110109414359032
11,rbf,0.0723774438333749
12,arima,0.0905825208707677
13,rbf,0.0580382101114525
14,rbf,0.0463235134501525
15,rbf,0.172774921673428
16,arima,0.0248457323189994
17,rbf,0.0268916932230826
18,rbf,0.134800821760388
19,arima,0.0130801627989387
20,rbf,0.0335424415516861
21,rbf,0.045973654123657
22,arima,0.0334876637188799
23,rbf,0.0395076300339438
24,rbf,0.011846559601875
25,rbf,0.0618626202329905
26,rbf,0.0632058310900995
27,rbf,0.0325217230914172
28,rbf,0.0276252092601939
29,arima,0.04066349522331
30,rbf,0.0464721439670791
31,rbf,0.0165629388612075
32,rbf,0.0260095124261487
33,rbf,0.0360045219429604
34,rbf,0.00725430438402932
35,rbf,0.0126471602363542
36,rbf,0.00861612950572538
37,rbf,0.0126137594148815
38,rbf,0.0218936210827013
39,rbf,0.0182113525975208
40,rbf,0.0574833600781388
41,rbf,0.049436308440979
42,rbf,0.028816740526515
43,rbf,0.00962175793949839
44,rbf,0.0219154701289723
45,rbf,0.0437996262954667
46,rbf,0.022471640167826
47,rbf,0.110554246782879
48,rbf,0.0621426245264698
49,rbf,0.00345809436803272
50,rbf,0.0178841531233036
51,rbf,0.0137083622480699
52,arima,0.0564484365329589
53,arima,0.100653627806281
54,rbf,0.0611177910889154
55,rbf,0.0131119467740416
56,rbf,0.015859747648606
57,rbf,0.0541798886666984
58,rbf,0.0358461839365874
59,arima,0.0136355608477646
60,rbf,0.0765939403268436
61,rbf,0.0366662136307555
62,arima,0.0856692485114193
63,arima,0.0810584819471929
64,rbf,0.00414209848210757
65,rbf,0.0309347427117461
66,rbf,0.0293903499508086
67,rbf,0.0129321706350212
68,rbf,0.119590896093857
69,arima,0.0316061384070041
70,rbf,0.0276181294445034
71,rbf,0.0061081940234368
72,arima,0.0437116669412341
73,rbf,0.0244677662278052
74,rbf,0.0339646091553362
75,rbf,0.0396300577331846
76,arima,0.0228769738231019
77,rbf,0.0189042145480597
78,rbf,0.0125726286668904
79,arima,0.0274523645219034
80,rbf,0.0916821740634289
81,rbf,0.0563656573701051
82,rbf,0.0616150524427071
83,rbf,0.0870411798792283
84,rbf,0.0227080329578881
85,rbf,0.0656285616662244
86,arima,0.0533583013088862
87,rbf,0.0172736133751741
88,rbf,0.0117615680838348
89,rbf,0.0211709226633209
90,rbf,0.0444580788009836
91,rbf,0.0724429095341514
92,arima,0.0395423920617074
93,rbf,0.0202112026547066
94,rbf,0.0225798813674894
95,rbf,0.0923398812741007
96,arima,0.0181152069374429
97,rbf,0.00792940504912235
98,rbf,0.0498868936448214
99,arima,0.0668450267706366
100,rbf,0.0115169947807479
101,rbf,0.00880885146888032
102,rbf,0.00846492687511357
103,rbf,0.0119403649444523
104,rbf,0.0161646635265698
105,arima,0.0641862301994977
106,rbf,0.0320029430692299
107,rbf,0.0280339257490079
108,rbf,0.159080720520821
109,arima,0.0319273779437343
110,rbf,0.0205072885829989
111,rbf,0.0882416526614881
112,rbf,0.00861577002771761
113,rbf,0.0078350693365372
114,rbf,0.0658468336932996
115,arima,0.0718793300794634
116,arima,0.0216577964605025
117,rbf,0.0325775695940955
118,rbf,0.0318380739941489
119,arima,0.0116359333521817
120,rbf,0.0109793871800062
121,rbf,0.0913091211479813
122,arima,0.0821862583539519
123,rbf,0.0257024034499936
124,rbf,0.0305318167456075
125,arima,0.158709378604942
126,rbf,0.0195402153470381
127,rbf,0.0538537884040089
128,rbf,0.055087846467796
129,rbf,0.0212602664921037
130,rbf,0.0290597285590337
131,rbf,0.0433225367469637
132,arima,0.0424979974161056
133,rbf,0.107173466104572
134,rbf,0.0577907650224193
135,rbf,0.0109797338185165
136,arima,0.0119647634617547
137,rbf,0.0288759500652333
138,rbf,0.112236317314429
139,arima,0.0133188924660006
140,rbf,0.0614028725717442
141,rbf,0.0535986551885963
142,rbf,0.0251295574815199
143,arima,0.0494364102316319
144,rbf,0.0508886581991239
145,rbf,0.110831232136056
146,rbf,0.0261365817813814
147,rbf,0.0149861343756494
148,rbf,0.0414358973159831
149,rbf,0.067430462660144
150,rbf,0.0513423652139787
151,rbf,0.0351555914285678
152,rbf,0.0382274006579278
153,rbf,0.0349850263582815
154,rbf,0.00642788989262172
155,rbf,0.00573408856466967
156,rbf,0.00289355941398732
157,rbf,0.0283782173870168
158,rbf,0.0186202835899257
159,rbf,0.01164774556643
160,rbf,0.0557719644070133
161,rbf,0.0210132045217344
162,rbf,0.0197455560097886
163,rbf,0.0201721625471946
164,rbf,0.0111556397505823
165,rbf,0.0172230469897616
166,rbf,0.0177725809424602
167,rbf,0.00705597190436632
168,rbf,0.0732067736379597
169,rbf,0.03750117155493
170,rbf,0.0686255604755765
171,rbf,0.0331228989016958
172,arima,0.0697713860076761
173,rbf,0.0667030952452507
174,rbf,0.0524453773297907
175,rbf,0.128575291246088
176,arima,0.0220822251924342
177,rbf,0.0389202056823487
178,rbf,0.0466270019949239
179,arima,0.0207012488947345
180,rbf,0.0436835916078772
181,rbf,0.0613582958468607
182,arima,0.0197081190907607
183,arima,0.0377400620377958
184,rbf,0.107928280737674
185,rbf,0.0212197317073899
186,rbf,0.052267988530965
187,rbf,0.00894759728424357
188,rbf,0.0756488317652351
189,arima,0.0922138441339308
190,arima,0.100655166673706
